,address,hind,üldpind,ehitusaasta,rõdu,seisukord,tubade_arv,broker,linnaosa,terrass,maaküte,autnoomne küte,gaasiküte,kombineeritud küte,kamin,õhksoojuspump,põrandaküte,tahkekütus,keskküte,ahjuküte,elektriküte,energy_class_a,energy_class_b,energy_class_c,energy_class_d,energy_class_e,energy_class_f,energy_class_g,korrus,saun,bassein
0,Ao tn 2,649800,148.3,2018,1,A,4,Perton Ehitus OÜ,Kesklinn,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0
10,Ravi tn 14,190000,154.2,2004,1,C,5,DE Kodu OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0
13,Pärnu mnt 69,75000,14.9,1911,0,B,1,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
15,Jakobi tn 15,77900,36.9,1960,0,B,1,City Property OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0
33,Narva mnt 9,165000,76.0,1958,0,B,3,Eesti Kinnisvarabüroo OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0
35,Tartu mnt 52,209900,79.5,2017,1,A,3,Merko Ehitus AS,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
38,Tina 13,125000,64.6,1963,1,B,3,RE Kinnisvara AS,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
40,Pärnu mnt 69,119000,39.2,1911,0,B,2,Fisk OÜ,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
51,Vesivärava tn 50,269500,105.4,2019,1,A,4,Baltic Sotheby's International Realty - Estonia,Kesklinn,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0
52,Rävala pst 11,65000,25.9,1951,0,B,1,RE Kinnisvara AS,Kesklinn,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
61,Rumbi tn 4,98900,22.5,2018,0,A,1,HAPPYRENT OÜ,Kesklinn,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0
