	Missing Ratio
Lisainfo:	82.91889824024483
Ventilatsioon:	76.8362662586075
Lift:	69.65378729915838
Rõdu:	52.9743687834736
Lisaväärtused:	52.95524100994644
Parkimine:	50.02869166029075
Vannitubade arv:	31.446059678653405
Magamistubade arv:	26.912777352716144
Ehitusaasta:	25.2008416220352
Energiamärgis:	21.470925784238716
Sanitaar:	20.705814843152258
Hoone materjal:	16.029074215761284
Hind/ühik:	12.806044376434583
Seisukord:	12.576511094108644
Küttesüsteem:	11.084544758990052
description	4.418515684774292
Korrus/Korruseid:	1.0328997704667175
broker_company	0.45906656465187456
Tubade arv:	0.43037490436113235
Üldpind:	0.42081101759755163
Hind:	0.34429992348890587
first_image_link	0.11476664116296864
address	0.0478194338179036
Otseviide:	0.009563886763580718
broker_name	0.009563886763580718
Kinnisvara tüüp:	0.009563886763580718
